archivo,linea,color,contexto,componente
GesmedWeb/state.py,486,#F892F6,Resaltado del término buscado en campos SOAP (ha_soap_html),<mark> HTML tag (inline style string generado en Python)
GesmedWeb/componentes/dialogos.py,12,gray,Texto de unidad de signo vital — fila inline SV,rx.text (dentro de _fila_sv)
GesmedWeb/componentes/dialogos.py,41,gray,Texto de unidad de signo vital — fila diálogo SV,rx.text (dentro de _fila_sv_dialog)
GesmedWeb/componentes/dialogos.py,64,gray (color_scheme),Botón Cancelar en diálogo advertencia salir SOAP,rx.button variant=soft
GesmedWeb/componentes/dialogos.py,70,red (color_scheme),Botón Salir sin guardar en diálogo advertencia SOAP,rx.button
GesmedWeb/componentes/dialogos.py,91,gray,Descripción del diálogo Otros Signos Vitales,rx.dialog.description
GesmedWeb/componentes/dialogos.py,100,gray (color_scheme),Botón Cerrar en diálogo Otros SV,rx.button variant=soft
GesmedWeb/componentes/dialogos.py,123,white,Texto del botón Vincular Diagnóstico en cabecera SOAP,rx.button
GesmedWeb/componentes/dialogos.py,140,white,Texto del botón Editar SOAP en cabecera SOAP,rx.button
GesmedWeb/componentes/dialogos.py,209,gray (color_scheme),Botón Otros SV en sección signos vitales SOAP,rx.button variant=outline
GesmedWeb/componentes/dialogos.py,226,gray,Texto resumen Otros SV visibles en SOAP (sv_otros_texto),rx.text
GesmedWeb/componentes/dialogos.py,238,white,Fondo del contenedor scroll de campos SOAP,rx.box (contenedor scroll SOAP)
GesmedWeb/componentes/dialogos.py,260,rgba(0,0,0,0.2),Overlay oscuro al abrir offcanvas_atencion,rx.box (overlay fijo full-screen)
GesmedWeb/componentes/dialogos.py,295,black,Color texto en dict de estilos _PX_M para encabezado tabla prescripción,dict _PX_M → rx.table.column_header_cell
GesmedWeb/componentes/dialogos.py,310,orange (color_scheme),Badge de sustancia de alergia en lista alergias prescripción,rx.badge variant=soft
GesmedWeb/componentes/dialogos.py,389,grass (color_scheme),Badge nombre del medicamento seleccionado en formulario prescripción,rx.badge variant=solid
GesmedWeb/componentes/dialogos.py,392,gray (color_scheme),Botón icono deseleccionar medicamento en formulario prescripción,rx.icon_button variant=ghost
GesmedWeb/componentes/dialogos.py,463,gray (color_scheme),Botón Cancelar en formulario ítem prescripción,rx.button variant=ghost
GesmedWeb/componentes/dialogos.py,468,green (color_scheme),Botón Añadir ítem a la prescripción,rx.button
GesmedWeb/componentes/dialogos.py,521,blue (color_scheme),Botón icono editar ítem de prescripción en tabla,rx.icon_button variant=ghost
GesmedWeb/componentes/dialogos.py,527,red (color_scheme),Botón icono eliminar ítem de prescripción en tabla,rx.icon_button variant=ghost
GesmedWeb/componentes/dialogos.py,629,white,Texto del botón Grabar Prescripción,rx.button
GesmedWeb/componentes/dialogos.py,642,white,Texto del botón Guardar Cambios prescripción,rx.button
GesmedWeb/componentes/dialogos.py,709,gray (color_scheme),Botón ghost en cabecera de prescripción,rx.button variant=ghost
GesmedWeb/componentes/dialogos.py,746,black,Label Concentración en formulario nuevo ítem prescripción,rx.text
GesmedWeb/componentes/dialogos.py,760,black,Label Cantidad en formulario nuevo ítem prescripción,rx.text
GesmedWeb/componentes/dialogos.py,772,black,Label Presentación en formulario nuevo ítem prescripción,rx.text
GesmedWeb/componentes/dialogos.py,786,black,Label Indicaciones en formulario nuevo ítem prescripción,rx.text
GesmedWeb/componentes/dialogos.py,801,red (color_scheme),Callout de error en diálogo editar ítem prescripción,rx.callout icon=triangle_alert
GesmedWeb/componentes/dialogos.py,812,indigo (color_scheme),Botón Guardar cambios en diálogo editar ítem prescripción,rx.button
GesmedWeb/componentes/dialogos.py,855,black,Label Nombre genérico en diálogo nuevo medicamento,rx.text
GesmedWeb/componentes/dialogos.py,868,black,Label Nombre comercial en diálogo nuevo medicamento,rx.text
GesmedWeb/componentes/dialogos.py,881,red (color_scheme),Callout de error en diálogo nuevo medicamento,rx.callout icon=triangle_alert
GesmedWeb/componentes/dialogos.py,892,green (color_scheme),Botón Añadir medicamento en diálogo nuevo medicamento,rx.button
GesmedWeb/componentes/dialogos.py,920,rgba(0,0,0,0.2),Overlay oscuro al abrir offcanvas_prescripcion,rx.box (overlay fijo full-screen)
GesmedWeb/componentes/dialogos.py,967,rgba(0,0,0,0.2),Overlay oscuro al abrir offcanvas_nuevo_diagnostico,rx.box (overlay fijo full-screen)
GesmedWeb/componentes/dialogos.py,1001,black,Label genérico en función auxiliar _label() — formulario nuevo paciente,rx.text
GesmedWeb/componentes/dialogos.py,1025,green,Título de sección en función _section_title() — formulario paciente,rx.text
GesmedWeb/componentes/dialogos.py,1243,indigo (color_scheme),Botón Editar datos paciente en diálogo editar paciente,rx.button
GesmedWeb/componentes/dialogos.py,1270,black,Label en función _label_ro() — vista lectura datos paciente,rx.text
GesmedWeb/componentes/dialogos.py,1274,black,Label en función _label_ro() variante — vista lectura datos paciente,rx.text
GesmedWeb/componentes/dialogos.py,1291,black,Label en función _label_edit() — vista edición datos paciente,rx.text
GesmedWeb/componentes/dialogos.py,1295,black,Label en función _label_edit() variante — vista edición datos paciente,rx.text
